,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
221,175-222,5531550228324592939.xml,604.15,606.03,,,a woman is talking to a man and he is smiling,,,
222,175-223,5531550228324592939.xml,606.04,608.14,Aren't my family a bunch  of charmers(?),,a man is talking to another man and smiling,Ryan,Ryan,
223,175-224,5531550228324592939.xml,608.15,617.1,What are you doing?  Just checking. Lily is fine. I don't know if I told Uncle Charlie  where I left the milk. It's in the fridge.  What if he can't find it?,,a woman is dancing with a man,Stacey Ryan,Stacey,
224,175-225,5531550228324592939.xml,617.11,618.1,It's next to the beer.  What if he falls asleep and gets drunk?,,a man is looking at a woman and she is talking,,,
225,175-226,5531550228324592939.xml,618.11,639.17,"He'll soon wake up when Lily starts  screaming. Now, we're out on it, and I want you to enjoy yourself. Party girls!  We will be as soon as she gets some drink down her neck, and remembers that she's  a young single woman. Come on, little mamma,  it's Happy Monday! Yeah! ",,a woman is smiling and making a face,Stacey Ryan,Stacey,
226,175-227,5531550228324592939.xml,639.18,656.19,"Hello, mate. Yeah,  sorry for the late notice, but I actually won't be needing you  to come round to fit the TV, OK? Ere, what a bit of luck.  Alfie, I've only found programmes ",,a man is looking at something and then he looks away,Ryan,,
227,175-228,5531550228324592939.xml,656.2,658.11,"from 1966, 1967 and 1965. ",,a man is sitting in a chair and another man is dancing,,,
228,175-229,5531550228324592939.xml,658.12,659.18,,,a man is holding a woman s face and kissing her,,,
229,175-230,5531550228324592939.xml,659.19,660.19,,,a man is holding a woman and kissing her,,,
230,175-231,5531550228324592939.xml,660.2,663.14,"Oh, wow. That is brilliant, Charlie. ",,a man is holding a woman s face and kissing her,Ryan,,
231,175-232,5531550228324592939.xml,663.15,665.21,,,a man is dancing in front of a group of people,,,
232,175-233,5531550228324592939.xml,665.22,668.01,"Well done, mate. Do you mind  if we have a look at them later? Is that all right?",,a man is dancing in a room with a lot of other people,Ryan,,
233,175-234,5531550228324592939.xml,668.02,669.05,,,a man is holding a glass of wine,,,
234,175-235,5531550228324592939.xml,669.06,673.02,"What d'you mean, later?  Only I've got to bomb over the Cellar and see a man about fixing me TV, you know.",,a man is dancing in front of a woman,Ryan,,
235,175-236,5531550228324592939.xml,673.03,676.07,But what about your afters? I got  you a tin of peaches and some cream.,,a man is dancing in a room with a lot of other people,,,
236,175-237,5531550228324592939.xml,676.08,679.14,"Get away, that sounds fantastic.  Save me some, Charlie, I'll see you a bit later, mate. Thank you.",,a man is walking in a room with a woman,,,
237,175-238,5531550228324592939.xml,679.15,688.0,,BABY CRIES ,a man is dancing in a kitchen,,,
238,175-239,5531550228324592939.xml,688.01,689.17,,,a woman is drinking from a glass,Stacey,,
239,175-240,5531550228324592939.xml,689.18,692.13,,,a man is sitting on a couch and smiling,Stacey Ryan,,
240,175-241,5531550228324592939.xml,692.14,721.23,"OK, look, so I get real ale.  But that stuff? Does it really taste of anything? It's not always about the taste,  though. So what's it about? The atmosphere, the night, the whole package. Look,  your hair's perfect, you've been down the gym, had a party pump. Your chest looks good.  Got your tightest top on, sleeves are rolled up,  showing off the arms. Very effective. Pick up bottle,  flick the wrist, tricep pops. Walk into the gaff  like you own the place, scanning the room  for the fittest bloke. Er... See him nursing an orange juice  and think to yourself, ""Well, he is mine tonight.""",,a man is talking to a woman and she is smiling,Ryan,Ryan,
241,175-242,5531550228324592939.xml,721.24,724.18,"Oh, really?  Absolutely. D'you miss it? Miss what?",,a woman is sitting on a couch and drinking wine,Stacey Ryan,,
242,175-243,5531550228324592939.xml,724.19,727.13,,,a man is talking to a woman and she is smiling,Ryan,Ryan,
243,175-244,5531550228324592939.xml,727.14,734.05,What you've just described.  How can I miss anything  when I've got you?,,a man is dancing in front of a group of people,Ryan,Ryan,
244,175-245,5531550228324592939.xml,734.06,745.03,"It's not right.  I didn't put you down as homophobic. Any man kissing anyone that's  not me, that's what's not right.",,a woman is sitting on a couch and smiling,Stacey Ryan,Stacey,
245,175-246,5531550228324592939.xml,745.04,746.19,,,a woman is talking to a man and he is smiling,Stacey,,
246,175-247,5531550228324592939.xml,746.2,750.16,"OK, we've got a limited target  tonight, girls, so let's work together, let's keep the focus.",THEY LAUGH ,a woman is dancing in front of a crowd,Ryan,,
247,175-248,5531550228324592939.xml,750.17,752.18,,,a woman is holding a glass of wine,Stacey,,
248,175-249,5531550228324592939.xml,752.19,754.1,,,a woman is holding a baby and talking to a man,,,
249,175-250,5531550228324592939.xml,754.11,758.14,"So, when was the last time  you got any? Her? Good few months ago, ain't it? ",,a woman is talking to a man and he is smiling,Stacey,Stacey,
250,175-251,5531550228324592939.xml,758.15,761.21,"Do you mind?  No, but you should. Months?  OK, your need is greater than mine.",,a woman is kissing a man on the cheek,Ryan,,
251,175-252,5531550228324592939.xml,761.22,762.22,,,a woman is talking to a man and he is smiling,Stacey,Stacey,
252,175-253,5531550228324592939.xml,762.23,765.0,"So, what's your type?  Forget that. We'll start with  ""breathing,"" and then we'll work our way up. Right, ladies,",,a woman is kissing a man on the cheek,Ryan,,
253,175-254,5531550228324592939.xml,765.01,767.12,,,a woman is talking to a man and he is smiling,Stacey,Stacey,
254,175-255,5531550228324592939.xml,767.13,770.01,"keep the focus,  cos little mamma here is going to get some lovin' tonight,",,a woman is dancing with a man,Ryan,,
255,175-256,5531550228324592939.xml,770.02,772.06,,,a woman is sitting on a couch and smiling,Stacey,Stacey,
256,175-257,5531550228324592939.xml,772.07,772.2,,,a woman is talking to a man and he is smiling,,,
257,175-258,5531550228324592939.xml,772.21,773.01,,,a woman is talking to a man and he is smiling,Ryan,,
258,175-259,5531550228324592939.xml,773.02,775.1,or my name is not  Kimberleigh Harmony Angelica Fox.,,a woman is wearing a black dress and a bow tie,Ryan,,
259,175-260,5531550228324592939.xml,775.11,776.08,,,a woman is talking to a man and he is smiling,Stacey,Stacey,
260,175-261,5531550228324592939.xml,776.09,776.24,,,a woman is sitting on a couch and smiling,,Stacey,
261,175-262,5531550228324592939.xml,777.0,777.1,,,a woman is talking to a man and he is smiling,Stacey,,
262,175-263,5531550228324592939.xml,777.11,779.17,,THEY LAUGH ,a man is dancing with a woman,Ryan,Ryan,
263,175-264,5531550228324592939.xml,779.18,780.05,You all right? ,,a woman is sitting on a couch and smiling,Stacey,Stacey,
264,175-265,5531550228324592939.xml,780.06,780.18,,,a woman is sitting on a couch and smiling,,,
265,175-266,5531550228324592939.xml,780.19,781.16,,,a woman is sitting on a couch and smiling,Stacey,,
266,175-267,5531550228324592939.xml,781.17,787.02,"THEY CONTINUE LAUGHING  You single? Great, the Witches Of Eastwick  are here, then.",,a woman is dancing in front of a man,Ryan,,
267,175-268,5531550228324592939.xml,787.03,788.0,,,a man is talking to a woman and she is smiling,Ryan,Ryan,Ryan
268,175-269,5531550228324592939.xml,788.01,789.03,,,a woman is talking to a man and he is smiling,Janine,Janine,
269,175-270,5531550228324592939.xml,789.04,790.22,"What?  Oh, surprised? Really?",,a woman is talking to a man and he is smiling,Ryan,Ryan,
270,175-271,5531550228324592939.xml,790.23,793.02,What are you talking about?  I'm talking about Dog Slater over there making plans,,a woman is dancing in front of a group of people,,,
271,175-272,5531550228324592939.xml,793.03,793.11,,,a woman is talking to a man and he is talking to him,,,
272,175-273,5531550228324592939.xml,793.12,794.18,,,a man is dancing in front of a crowd,,,
273,175-274,5531550228324592939.xml,794.19,801.07,"in the nail bar to come here  and then, what, only an hour later you want to go out clubbing tonight to somewhere you never  normally go to.",,a woman is talking to a man and he is smiling,Janine Ryan,Janine Ryan,
274,175-275,5531550228324592939.xml,801.08,803.08,And then you came home with  flowers. Market stall flowers bought from a Slater I'm guessing.,,a woman is talking to a man and he is smiling,Ryan,Ryan,Ryan
275,175-276,5531550228324592939.xml,803.09,805.06,,,a man and a woman are talking to each other,Janine Ryan,,
276,175-277,5531550228324592939.xml,805.07,816.21,"What, you think I wanted to  come here cos Kat Slater was? No, cos you knew Little Miss  Sunshine over there would be here. Janine, you can stop that right now,  OK? I didn't know they were going to be here.",,a man is talking to a woman and she is smiling,Janine Stacey Ryan,Janine Ryan,Janine
277,175-278,5531550228324592939.xml,816.22,818.06,"I don't believe you.  Fine, whatever. Let's go, then.",,a woman is talking to a man and he is smiling,Ryan,Ryan,
278,175-279,5531550228324592939.xml,818.07,821.02,No way. We've paid to come in now.  You just said that you...,,a woman is dancing and singing in a room,Ryan,Ryan,
279,175-280,5531550228324592939.xml,821.03,822.11,,,a man is kissing a woman on the forehead,Ryan,Ryan,
280,175-281,5531550228324592939.xml,822.12,823.01,,,a man is dancing in front of a woman,,,
281,175-282,5531550228324592939.xml,823.02,827.07,"I am not going anywhere, Ryan.  I'm not going to let that lot think I can be driven out.",,a woman is talking to a man and he looks away,Janine Ryan,Janine,
282,175-283,5531550228324592939.xml,827.08,830.14,Go and play with your friends  if you want.,,a woman is holding a microphone and talking to a man,Stacey,Stacey,
283,175-284,5531550228324592939.xml,830.15,832.08,"I didn't know they were going to be  here, and I didn't plan anything.",,a man and a woman are kissing in a hallway,Ryan,Ryan,
284,175-285,5531550228324592939.xml,832.09,833.16,,,a man and a woman are talking to each other,Janine,Janine,
285,175-286,5531550228324592939.xml,833.17,835.0,I don't believe you. ,,a man and a woman are talking to each other,Ryan,Ryan,
286,175-287,5531550228324592939.xml,835.01,836.09,If this is the way you're going  to be all night then I'm going.,,a woman is sitting on a couch and talking to a man,Janine Ryan,,
287,175-288,5531550228324592939.xml,836.1,838.07,,,a woman is dancing in front of a group of people,Stacey Ryan,,
288,175-289,5531550228324592939.xml,838.08,839.11,"And if you want to join me,  I'll be up the High Street.",,a man is talking to a woman and she is smiling,Ryan,Ryan,
289,175-290,5531550228324592939.xml,839.12,841.1,,,a woman is talking to a man and he is smiling,Ryan,,
290,175-291,5531550228324592939.xml,841.11,844.1,,,a woman is dancing with a man,,,
291,175-292,5531550228324592939.xml,844.11,846.05,,,a woman is talking to a man and he is smiling,Ryan,,
292,175-293,5531550228324592939.xml,846.06,848.07,,,a woman is holding a microphone and talking to another woman,Ryan,,
293,175-294,5531550228324592939.xml,848.08,857.14,"Same again, girls?  Yeah, please. Yeah, thanks. Quiet night tonight?  No-one paying for it?",,a woman is dancing in front of a group of people,Ryan,,
294,175-295,5531550228324592939.xml,857.15,861.07,No. There's too many people  in here giving it away.,,a woman is sitting on a couch and talking to a man,Janine,Janine,
295,175-296,5531550228324592939.xml,861.08,863.02,,,a woman is kissing a man on the cheek,,,
296,175-297,5531550228324592939.xml,863.03,864.19,,,a man is dancing in a room with a lot of people,,,
297,175-298,5531550228324592939.xml,864.2,865.08,,,a man and a woman are sitting on a couch and the man is putting his arm around the woman,,,
298,175-299,5531550228324592939.xml,865.09,867.04,Do you think  you'd do things different if you had your time again?,,a man is dancing in front of a group of people,Ryan,,
299,175-300,5531550228324592939.xml,867.05,868.16,,,a man and a woman are dancing in a living room,,,
300,175-301,5531550228324592939.xml,868.17,870.03,,,a man is dancing in front of a group of people,,,
301,175-302,5531550228324592939.xml,870.04,882.16,"I don't think it matters what  you do. You're marked at birth. So what's the struggle for, you know?  What's the point of it all? ",,a man and a woman are sitting at a table and talking,Janine Ryan,,
302,175-303,5531550228324592939.xml,882.17,888.22,The point of it all...  The point of it all  is to look out for yourself.,,a man is talking to another man and smiling,,,
303,175-304,5531550228324592939.xml,888.23,893.11,"Yeah, you can't if you've got kids. ",,a woman with long hair is smiling and talking,,,
304,175-305,5531550228324592939.xml,893.12,898.2,Nothing I have ever given my kids  has helped 'em or made their lives better.,,a man is kissing a woman on the cheek,Ryan,,
305,175-306,5531550228324592939.xml,898.21,904.05,So don't tell me  that it ain't all pre-planned.,,a man is kissing a woman on her cheek,,,
306,175-307,5531550228324592939.xml,904.06,910.02,"Billie never had a chance,  then, did he?",,a woman with long hair is smiling and talking,Ryan,,
307,175-308,5531550228324592939.xml,910.03,922.01,"Where do I go from here?  Listen, listen.  Listen to me, all right? Yeah?",,a man is kissing a woman on the cheek,,,
308,175-309,5531550228324592939.xml,922.02,928.02,What you do...  Yeah?,,a man is sitting on a couch and hugging another man,Ryan,,Billy
309,175-310,5531550228324592939.xml,928.03,933.07,"...you start again.  You make a new life.  Oh, no, I don't think so. ",,a man is kissing a woman on the cheek,,,
310,175-311,5531550228324592939.xml,933.08,936.13,,,a man is kissing a woman on the cheek,,,
311,175-312,5531550228324592939.xml,936.14,937.15,,,a man is talking to a woman and she is smiling,Ryan,,
312,175-313,5531550228324592939.xml,937.16,940.09,"What the hell  do you think you're doing? Me and you, we could make a new  life, go somewhere different.",,a man is talking to a woman and she is smiling,Ryan,,
